사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
24-Jan,3호선,314,홍제,105,5,10003,1336,23686,6556,64747,9212,72509,22605,45969,19102,31963,16785,29101,17149,32316,19799,28522,22855,26329,24814,26205,30254,28378,34152,27634,43883,26579,64175,14151,56529,11487,32698,9177,28020,6509,25658,2612,15094,390,3805,0,0,0,0,0,0
24-Jan,3호선,315,무악재,16,0,2106,141,5862,1505,16510,2728,21346,5256,12215,3048,8671,3264,7341,3652,6996,4409,6385,4818,5627,5556,5137,6853,5461,8506,6440,11276,6925,17557,3356,15866,2425,9196,1916,8252,1411,6948,604,5031,118,1373,0,0,0,1,0,0
24-Jan,3호선,316,독립문,209,2,4861,848,6251,5752,14427,11910,18780,19839,15072,15269,12693,14322,12615,11357,14718,11459,13689,12393,13552,11547,15215,11712,15502,12699,16115,14061,16032,16400,7328,14323,5598,9778,4374,8251,3337,7286,998,4802,139,1945,0,558,0,0,0,0
24-Jan,3호선,317,경복궁(정부서울청사),27,0,2281,1360,5786,13877,13482,37594,20131,131666,18823,66760,17238,47679,22159,47631,27053,45818,34235,47109,41828,40324,49695,35568,61000,32067,81421,32353,114832,33160,48357,22273,39139,12822,37428,10601,24005,9722,8807,5577,995,1543,0,36,0,0,0,0
24-Jan,3호선,318,안국,15,1,1593,1913,2629,23477,5579,86331,9554,122339,11160,80502,13454,55388,20105,60071,29716,51971,34148,49596,42873,44531,55256,36885,72711,32506,120135,28809,126936,25206,55650,12710,43260,6968,37993,5698,20165,5134,6569,2911,647,892,0,1,0,0,0,0
24-Jan,3호선,319,종로3가,14,0,779,984,1280,5903,1811,15880,3025,46859,4433,44745,6880,36272,10213,29240,11518,26668,13520,24427,17010,22927,20710,20833,25760,19279,38275,18694,57429,18694,30410,10105,19506,5296,21154,4264,17441,3209,7732,1992,831,839,3,10,0,0,0,0
24-Jan,3호선,320,을지로3가,14,0,700,1226,1531,9020,3582,37212,5903,88655,7156,34265,8612,16676,10148,14946,10995,14125,13411,15170,15325,13887,18200,13623,21566,15464,46907,18703,75900,22600,30221,13104,21831,6538,21700,4849,17562,3494,9174,2283,1337,644,0,12,0,0,0,0
24-Jan,3호선,321,충무로,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,1,0,0,0,3,0,2,0,4,0,13,0,12,0,5,0,4,0,2,0,3,0,0,0,0,0,0,0,0,0
24-Jan,3호선,322,동대입구,8,1,1653,1008,2481,8816,5043,14799,8436,47897,7114,32636,6620,24079,9755,18258,9433,19106,13483,19460,14249,16458,16307,15047,22368,14214,31187,17993,45002,19730,19039,9754,22999,5729,22018,5173,12766,4153,3396,2568,390,920,1,61,0,1,0,0
24-Jan,3호선,323,약수,135,7,6320,1027,10529,6073,23245,12104,37523,34065,27745,21173,19172,15460,17751,15857,19939,16094,20763,16519,19391,18058,20071,20411,21664,22828,27305,29782,33716,42687,18699,28629,15853,18742,15333,15901,11512,14740,5516,8530,855,3153,1,465,0,0,0,0
24-Jan,3호선,324,금호,21,8,4193,439,10209,2547,26251,4429,38487,9281,23971,6559,15096,6134,13317,6905,13324,8268,12129,10255,10440,10765,10342,12832,11210,15405,11683,21516,11560,32668,7824,22577,5440,14937,4043,13517,3034,12114,1521,6579,331,1939,0,0,0,0,0,0
24-Jan,3호선,325,옥수,167,1,2838,807,8601,4870,20948,7392,31855,13181,21880,10258,15199,8562,14387,9963,14075,11162,14274,12819,13687,13805,13889,15685,14822,17640,16910,24955,16439,34175,10573,25345,8464,16656,7865,14479,5080,13261,2141,6922,333,1989,0,1,0,0,0,0
24-Jan,3호선,326,압구정,98,7,2729,2200,7745,23324,15383,48032,24498,148424,20440,160079,25829,84140,32025,69173,40028,55505,44132,59619,54519,52351,62849,49572,74636,48813,101474,56372,141906,60431,98897,32545,75208,16762,55704,13010,39977,11339,11884,5924,1775,2112,1,214,0,0,0,0
24-Jan,3호선,327,신사,49,4,3856,1698,6649,17051,11280,44810,16657,107369,14786,140560,18649,70267,25012,49637,29212,46523,34346,50443,42244,45502,49966,41460,60119,43466,91881,54129,130672,66350,91556,34880,62580,17090,63836,13106,53651,10930,24726,7112,3620,3284,1,1,0,0,0,0
24-Jan,3호선,328,잠원,2,0,1078,711,4559,7672,12113,6092,18299,8043,11508,6292,7961,4742,8034,5159,7915,5564,7516,6976,6958,6820,8280,7518,11598,7742,12573,10942,9253,14421,4683,10533,3299,6949,3333,6802,2039,7991,697,3680,118,1057,0,0,0,0,0,0
24-Jan,3호선,329,고속터미널,167,4,5375,3576,7135,31913,25668,43833,46357,72687,52559,91955,56065,93325,69125,102076,82057,94326,91310,94741,101805,100849,116738,104396,127258,100480,142267,106314,134148,110948,111714,69607,122411,43885,72239,35299,43444,25589,14632,11939,1709,2096,0,2,1,0,0,0
24-Jan,3호선,330,교대(법원.검찰청),71,0,1500,625,4281,6554,8988,19347,14710,52469,12593,42123,13965,18241,17760,13514,20650,12580,25591,13213,29956,11805,32021,10944,34684,11650,54193,16520,74584,21481,35200,11588,29806,6266,30493,4974,23884,4626,9435,2790,1453,748,1,2,0,0,0,0
24-Jan,3호선,331,남부터미널(예술의전당),40,0,3053,1313,8816,24576,27179,67480,45358,162731,36713,86449,33748,50234,39223,39803,39752,40919,43664,48591,46445,44931,52047,44214,63619,45207,112928,54032,140181,61874,63191,40385,43555,25312,37936,19178,31627,15206,8212,8910,920,2482,0,8,0,0,0,0
24-Jan,3호선,332,양재(서초구청),49,0,5220,2868,13795,41259,34608,106730,45684,240871,31946,129790,28762,59172,31913,48239,36220,42236,43198,47142,49274,42144,56148,40758,70832,46717,131730,66701,203964,81525,92790,53890,68353,32906,64695,27893,44252,25176,14098,13035,1580,3675,0,105,0,0,0,0
24-Jan,3호선,333,매봉,13,1,1669,713,6890,8227,16647,24774,21801,81541,14964,36087,13896,16487,14062,15451,14436,13591,15668,14148,17613,12767,19511,13388,22409,14650,41192,19648,68623,25099,22139,16674,16122,10021,16989,8526,9994,8268,3291,4357,363,1468,0,48,0,0,0,0
24-Jan,3호선,334,도곡,55,12,1033,216,3203,4010,9160,12550,11297,20490,7669,17248,6206,7969,6806,7466,6882,7168,7302,7501,7515,6614,8617,6736,10330,6646,16402,8994,17550,11228,8778,8971,6066,5370,5394,4901,4071,4545,1022,2593,219,1606,2,202,0,0,0,0
24-Jan,3호선,335,대치,14,1,3165,645,12652,7838,25920,20185,27702,33838,17699,26222,15059,17447,15134,16039,18241,20898,20754,24459,18345,20146,20461,20169,23609,22763,37663,30536,32396,33524,19732,24235,13451,14341,17098,14108,38929,11658,3757,6805,443,2065,0,3,0,0,0,0
24-Jan,3호선,336,학여울,3,0,584,218,1907,1306,3742,3190,4661,8076,3578,5592,2854,4132,3239,2876,3551,3334,3520,3891,3105,4832,4459,3592,5555,3265,7039,3827,7907,4719,2695,3522,1945,2406,1692,2168,881,1825,383,1067,31,395,0,0,0,0,0,0
24-Jan,3호선,337,대청,169,0,3614,1147,11337,7255,29139,14104,39151,28072,21706,13000,16330,8902,15196,8483,14574,10073,15184,11779,14396,12904,15699,14676,17582,16041,25851,21801,28077,33257,12096,25226,8773,17372,6534,15700,4729,16124,1621,8661,305,2956,0,28,0,0,0,0
24-Jan,3호선,338,일원,8,1,2372,1822,8782,11883,22344,31435,25364,25346,18602,21529,19079,18949,20282,13856,19692,16632,17608,17781,19467,17449,23893,15261,29787,14176,39573,16685,20227,23718,11252,18337,7141,12401,4852,11413,4080,12315,1596,5089,137,1756,1,47,0,0,0,0
24-Jan,3호선,339,수서,86,1,4583,2445,12011,15567,36609,31992,46743,56631,31173,36813,37171,24917,26204,22200,36177,26823,31267,23778,24338,24687,33550,29944,37276,33180,46609,41728,54459,57088,24975,41812,25279,28161,16038,23292,15539,21260,7527,8623,553,3131,1,223,0,0,0,0
24-Jan,3호선,340,가락시장,42,3,2888,606,7025,6249,20536,11913,22873,27378,16178,14668,14289,10991,14450,11586,14722,13052,15150,13220,14771,13563,15910,15395,16850,16405,22376,20917,29245,27282,12865,19019,9688,12444,8079,10352,6383,10031,2503,5248,366,1755,2,38,0,0,0,0
24-Jan,3호선,341,경찰병원,3,0,2774,308,7716,3543,23105,9670,28267,29438,16458,16115,12050,9328,11067,7214,10078,8695,10408,10035,10441,8965,11801,9272,10907,10492,16481,16053,22617,24225,7933,19016,6189,11083,5086,9630,3503,9395,1135,5337,163,1394,0,0,0,0,0,0
24-Jan,3호선,342,오금,27,0,4504,5,8286,2795,28757,5608,33926,13542,16650,6230,10062,4958,8335,4698,9276,6118,8729,6380,7211,6634,7078,8477,8572,10135,11270,15241,12823,24342,4683,17173,3686,11963,2791,9645,3087,11728,1410,6044,104,2173,0,0,0,0,0,0
24-Jan,4호선,409,당고개,95,0,8480,28,17092,4334,43502,5452,36473,9258,22349,9069,16736,8550,15145,8515,15305,9867,14622,10685,13597,11473,12966,13556,13060,16405,13162,19224,12329,28378,7168,26161,5300,16754,4055,14793,2881,13742,1476,9927,322,3573,0,443,0,0,0,0
24-Jan,4호선,410,상계,28,3,14210,276,37546,6539,88247,12323,74149,20154,43331,16749,31670,15035,28668,16111,31322,20294,29003,22127,25743,22540,24352,27514,26078,33843,25701,43671,24493,68719,15046,62581,11680,37868,10187,32366,11170,30246,3585,19623,641,5648,8,549,0,0,0,0
24-Jan,4호선,411,노원,259,2,13966,1755,29176,15571,67117,28968,79538,63223,49051,50706,39719,40163,40153,39287,46311,46215,45559,50474,45595,49069,48750,54160,52775,62772,57427,77085,63514,114037,45487,85845,39118,50063,34652,42767,32536,37691,15559,25088,3306,7573,4,746,0,0,0,0
24-Jan,4호선,412,창동,2043,43,16476,2491,37920,12257,87918,17099,77965,45601,51322,36748,43261,32016,42624,31171,43815,39394,41720,46166,41566,47195,44914,50218,50152,54780,48577,66620,51308,93275,27955,80422,21713,47188,20016,39800,15200,36649,6981,22764,1253,7842,0,117,0,0,0,0
24-Jan,4호선,413,쌍문,202,4,23841,1225,51463,8774,122570,13318,127522,27178,77065,21081,53379,19939,46140,22506,46294,26589,43581,28959,37534,32333,35617,43363,35655,53995,38533,69378,35255,107377,22317,101980,15924,60875,13184,53723,10045,49222,4495,32271,685,9377,0,14,0,2,0,0
24-Jan,4호선,414,수유(강북구청),72,4,21450,3230,44775,10374,106666,18674,120664,54771,77604,38536,53204,29993,49903,32929,53651,36202,52441,41722,48980,45406,48582,53671,52507,67532,56673,84523,65340,125609,37522,112380,27923,69488,24588,59838,20710,54848,11705,36511,2134,8808,0,0,0,0,0,0
24-Jan,4호선,415,미아(서울사이버대학),29,1,10970,1862,19733,7766,44541,11204,51642,33789,32963,20432,25246,15760,22967,16166,27005,17496,25089,19462,22838,20847,21806,25310,24633,28797,27810,34072,28686,47127,16457,40037,11161,24364,9741,21497,7095,18614,2605,12680,411,3467,0,0,0,0,0,0
24-Jan,4호선,416,미아사거리,60,2,14986,2650,35593,8112,88104,15876,96396,33061,60052,30317,42750,27564,40562,29927,43118,32700,42951,34817,41913,38938,42869,47658,43759,54937,41935,69247,43091,105126,30128,81547,29192,48277,17732,42874,13196,36637,6318,21839,1038,5326,0,0,0,0,0,0
24-Jan,4호선,417,길음,9,0,10237,1660,33118,7979,86350,11249,88221,27264,50666,20881,34646,17348,29972,18936,31937,23946,30756,25670,28037,27302,28682,31075,31726,38199,33206,52568,31253,81024,16828,67353,13327,40140,9860,37493,9910,34911,3361,20689,569,5918,0,0,0,0,0,0
24-Jan,4호선,418,성신여대입구(돈암),28,4,5956,1769,18650,6635,46174,13955,51856,33486,36524,28161,27759,21561,28363,22049,33191,27363,33184,29815,31273,29583,33339,32417,36582,37411,43172,50573,45275,69424,29373,55120,25592,34870,27763,31180,24774,28371,11871,18343,1900,6141,0,0,0,0,0,0
24-Jan,4호선,419,한성대입구(삼선교),59,2,6467,1249,11990,6914,29192,13262,36874,25587,25700,23528,19273,16739,18632,15962,21665,16660,21592,17967,20816,17598,21416,20125,27209,22868,29111,27122,29088,36285,15125,29168,12661,19222,11886,18078,8181,17548,3778,10641,548,5091,0,1483,0,0,0,0
24-Jan,4호선,420,혜화,17,2,3534,2297,7311,22828,16945,47646,20970,115447,25220,87481,32906,69645,38095,63245,41582,80147,43190,99934,56211,86749,77813,68300,96168,67653,117132,71561,126886,81066,75123,56225,75051,20815,100688,18630,91708,15976,29779,10242,3863,3097,0,357,0,0,0,0
24-Jan,4호선,421,동대문,223,3,4368,2322,2842,12688,4383,31420,6786,68394,10463,63703,16032,57214,22780,52501,29526,47109,35797,44149,44798,40579,54366,34059,67026,25986,85892,19758,62064,17845,32407,19095,23837,12154,22218,8248,16216,6035,6771,5076,925,1164,1,63,0,0,0,0
24-Jan,4호선,422,동대문역사문화공원(DDP),435,3,6155,1697,4223,13901,7618,29261,10990,67253,13633,38969,15918,28841,18628,26560,20528,25773,23135,26816,28610,26420,35566,23562,43547,22091,63055,23255,80953,24264,42844,26614,32964,17366,30028,13864,25332,11171,12690,7168,2299,2231,2,77,0,0,0,0
24-Jan,4호선,423,충무로,80,2,3236,3078,5340,23425,10606,60324,17896,179435,20703,101866,23541,52272,28996,44439,30133,41992,35574,43039,41859,35890,45598,33527,56871,36084,97663,40404,159474,45392,69590,28415,50859,18399,48858,17536,37965,15799,20220,10700,3745,3427,2,141,0,0,0,0
24-Jan,4호선,424,명동,22,0,1299,1051,3117,20354,5943,48990,10975,122758,20620,81750,27046,55607,32820,57084,34260,59357,40277,63916,47425,59469,59971,59812,69483,58354,91955,58673,138263,55338,76898,40323,66663,28181,62084,21001,52068,13649,19523,7318,1369,2109,1,91,0,0,0,0
24-Jan,4호선,425,회현(남대문시장),46,0,1219,707,2897,20720,4746,56002,8029,149718,10220,100793,14762,75289,24662,70386,33883,57532,43822,52470,56383,48573,67855,39901,84321,29722,106516,23987,129991,20213,61553,11108,58242,6179,22819,5836,12957,4440,4622,2787,559,907,0,83,0,0,0,0
24-Jan,4호선,426,서울역,216,11,4309,789,5845,15257,11857,40755,15641,91039,13529,55457,11987,29147,14427,29147,15290,32281,15358,32204,15639,30438,17274,33897,22200,35746,49522,41048,66723,41011,26899,30459,16908,20740,14915,19038,10382,15460,4809,8013,554,2351,0,202,0,0,0,0
24-Jan,4호선,427,숙대입구(갈월),5,0,2850,681,7906,7304,15985,20947,26718,48402,19269,29360,15691,16767,16080,17009,19152,16745,19548,18996,20070,18442,21284,19326,26119,22274,37738,29960,51305,40324,24880,26539,21411,16370,21551,14812,17925,13052,8745,8185,1115,2081,0,3,0,1,0,0
24-Jan,4호선,428,삼각지,4,1,589,361,2150,5391,6746,13856,10665,20802,6462,11522,5223,9180,5611,11168,7008,12084,8086,12025,9107,10670,9760,12315,10934,13831,17231,18633,25891,26247,12672,15014,12660,7804,15492,6015,14329,5156,7522,3500,875,1259,0,8,0,0,0,0
24-Jan,4호선,429,신용산,8,1,1355,1182,4270,13738,11459,39217,18229,101047,15047,72549,13856,31774,18363,28818,19371,29631,22695,30168,23455,28151,31615,29760,41117,31451,68934,38448,104223,47929,50187,27554,38611,15363,38042,11300,28344,8051,12085,4437,1440,1258,0,9,0,0,0,0
24-Jan,4호선,430,이촌(국립중앙박물관),11,2,1229,892,4951,6709,12037,11861,17367,24942,12027,21245,9249,21883,10540,17997,15051,18315,17500,21255,17618,19436,22759,17110,28816,15150,31442,16218,27065,21838,10244,14874,8062,9134,7153,8427,4017,7293,1532,4357,201,1320,0,13,0,0,0,0
24-Jan,4호선,431,동작(현충원),5,0,161,316,523,1909,1560,2900,2241,5069,1638,3040,1553,2655,1809,1881,1760,1824,1753,2434,2033,2277,2828,2156,3393,2072,4566,2231,4377,2736,1543,1879,1305,2079,1085,751,775,654,267,427,78,302,0,50,0,0,0,0
24-Jan,4호선,432,총신대입구(이수),95,2,6020,1018,16527,8930,46221,16560,61505,44796,37698,30282,28094,24608,27610,26024,30689,27334,31666,31271,29572,33779,30287,39113,32386,44644,37644,55579,44797,81063,27371,50472,24305,29232,20429,25633,17482,22230,8527,12703,1132,3239,5,601,0,0,0,0
24-Jan,4호선,433,사당,152,58,10392,1329,26760,18965,71458,22007,81501,35036,62634,27034,41068,23741,35157,33899,37695,32801,38031,29030,37621,29310,37136,34048,38675,46318,47115,67998,51432,101053,34212,63070,32733,37196,35885,32201,32922,29942,16217,19025,1728,5725,0,543,0,0,0,0
24-Jan,4호선,434,남태령,29,0,608,57,925,1331,2309,4178,3548,5594,2770,1856,2054,1185,2183,1103,2127,1414,1913,1291,1935,1332,1819,1517,2936,1761,5262,1662,4033,2083,1452,1587,1001,1477,601,1231,329,893,168,571,24,160,0,0,0,0,0,0
24-Jan,경부선,1001,서울역,9,3,44,513,112,3947,12626,6702,21825,7447,18175,5820,17354,4825,20611,2785,21255,4517,19102,4523,9768,4011,22436,4788,22238,5297,21561,8969,23810,10106,21759,6123,15779,4018,17208,3304,14641,2777,7273,723,1063,41,0,0,0,0,0,0
24-Jan,경부선,1002,남영,92,0,2486,1343,4510,8043,12421,23609,20091,47560,11770,25999,8934,11628,10322,10579,11919,10695,11372,12035,12658,11401,13886,12298,18391,13847,30499,17803,41832,26297,16859,16253,13938,10475,13787,9186,11345,8229,4704,4915,229,1160,0,0,0,0,0,0
24-Jan,경부선,1003,용산,265,7,4314,5019,5775,33043,21073,73809,32315,151986,38245,113502,36358,79037,53946,76001,51482,79671,60966,78470,52074,75910,95275,78331,104197,78052,127743,81965,167397,86157,104025,57514,97591,39259,95693,24418,66856,13033,21030,5464,935,1608,0,0,0,0,0,0
24-Jan,경부선,1004,노량진,328,7,4665,1729,6576,5430,16978,8256,23914,15483,13532,10938,9900,8597,11551,12036,12730,12990,14876,12692,14806,11977,14639,13523,15689,18007,17400,26479,17960,41777,13670,22912,13186,13005,14707,11461,15079,9705,5261,6035,304,1235,0,0,0,0,0,0
24-Jan,경부선,1005,대방,417,5,4612,2008,8959,8094,23178,31145,30071,45343,17008,21325,13733,11579,13063,11192,13895,12033,14224,14303,15449,12199,15499,13706,16788,15985,29653,22707,38391,34004,13723,21039,10441,14679,9587,13878,6378,11992,1898,7407,121,1677,0,0,0,0,0,0
24-Jan,경부선,1006,영등포,4097,114,15423,6428,16672,22629,39668,56563,58182,132683,38032,94884,37934,75140,43460,83453,53348,90215,58167,95956,61723,80954,88322,78194,102402,80186,122187,90765,165353,112682,98017,69798,95359,38401,72845,29836,58673,23818,23406,13318,790,3569,0,0,0,0,0,0
24-Jan,경부선,1007,신도림,372,2,2202,740,3166,2806,8493,6657,11019,15413,5734,7284,4021,4888,4045,4535,4430,4777,4667,5059,4583,5047,4981,5618,6032,6721,9913,8737,14012,13412,6343,7673,4726,4362,4931,3849,3668,3165,1605,1905,70,981,2,2,0,0,0,0
24-Jan,경부선,1032,신길,688,3,9373,1679,10635,4885,23732,15654,33107,26544,18301,10239,11396,6359,9928,6071,11785,7001,10888,7871,9914,8073,9912,9827,12146,11828,19059,15696,28321,23523,10674,16262,7882,11516,6576,11777,4897,10361,1795,5938,93,1441,0,0,0,0,0,0
24-Jan,경부선,1701,구로,10629,29,21429,3760,18443,12922,36197,29872,35568,73050,25252,39268,20402,28557,21010,25125,22691,22482,23765,23480,24739,23192,28427,24471,33731,29250,53479,34963,58293,42332,24584,29936,19921,19844,16424,19333,10497,16188,4406,11391,36,9897,0,0,0,0,0,0
24-Jan,경부선,1702,가산디지털단지,1270,12,6901,2831,6918,11880,14247,57637,15191,156428,10847,75880,9850,24052,11066,15715,13383,16122,14834,16118,16014,15869,19742,15208,28382,18194,74073,23378,115440,28857,45307,20466,26623,13044,20797,11639,14968,10867,6255,6131,239,935,0,0,0,0,0,0
24-Jan,경부선,1703,금천구청,386,3,11357,1456,17982,6641,42328,14847,40367,31575,23045,11424,16813,9320,15763,9619,16032,11890,15374,14255,13714,12982,13941,17491,15966,21084,17332,28489,28491,43669,11110,32479,8017,16807,6686,16403,4353,13341,1394,8823,39,683,0,0,0,0,0,0
24-Jan,경부선,1704,석수,251,3,7433,2384,16071,7017,36588,11367,33492,15235,18521,10087,13526,8242,11737,6232,12491,7040,11497,7642,10639,8238,12197,10497,13232,13182,17615,20367,16876,32628,8745,24968,5917,15214,4631,14138,3190,12284,1267,7182,54,412,0,0,0,0,0,0
24-Jan,경부선,1705,관악,156,0,7771,1545,12980,3229,34190,6077,29127,11750,14897,9326,11101,8985,10064,7374,11430,7433,10993,7377,9814,7773,10188,9560,10831,12698,11875,17357,11257,29524,5828,22758,4434,12939,4023,12281,2429,10108,1053,6981,72,539,0,0,0,0,0,0
24-Jan,경부선,1706,안양,275,4,14493,4066,33314,13958,82965,16637,72362,29831,39190,22509,29411,20688,28583,25830,31507,26264,29949,31981,30111,28401,32217,35453,37335,41456,38298,54510,33883,85575,20873,65635,18809,38079,17763,29097,14169,23252,6769,18136,369,1974,0,0,0,0,0,0
24-Jan,경부선,1707,명학,95,3,6106,2046,10553,9232,26590,25507,21642,53394,11615,13818,8175,7181,8624,5586,8897,6477,9450,7885,8924,6917,9906,7536,13699,9069,25637,11860,39331,20510,11364,18300,10179,9683,6395,8014,3887,7462,1682,5811,98,1170,0,0,0,0,0,0
24-Jan,경부선,1708,금정,303,6,23144,5236,38778,20171,90941,48588,88301,95035,51486,35168,36711,22780,34211,24741,35720,26276,34579,29391,32003,29749,34451,38338,42142,45366,69261,64303,82131,96116,36600,77854,28385,45392,23481,43487,17084,36365,7800,25329,508,9335,0,0,0,0,0,0
24-Jan,경부선,1709,군포,11,1,4848,1866,8780,8635,19116,34004,16832,42257,9404,8685,7365,5211,7428,4492,8109,5337,7139,5896,6815,5979,7859,6837,9757,8295,25544,11310,35589,15270,11270,12438,9352,7639,4854,6138,2647,5853,1086,3420,57,659,0,0,0,0,0,0
24-Jan,경부선,1710,의왕,24,0,6178,3550,13589,11811,29276,32565,26832,27786,13598,9635,10762,6008,11061,6911,11166,7715,10444,8853,10017,8154,11823,10762,18075,13589,28471,16827,25144,28856,12096,19967,8235,13697,6507,11411,4187,9669,1798,6957,63,1155,0,0,0,0,0,0
24-Jan,경부선,1711,성균관대,194,6,8888,2143,29525,7013,68959,8787,54697,18429,26580,14377,20997,13121,19226,13348,20415,14165,18598,17130,17356,16874,18349,20949,22077,26291,24942,39680,23412,62613,14964,52970,11888,30643,10612,26475,9076,21459,4455,14564,260,2358,0,0,0,0,0,0
24-Jan,경부선,1712,화서,355,27,9315,1272,23948,7110,44548,10855,33857,13813,14898,13319,12019,14609,12421,16450,13788,17325,15673,19758,17243,18853,20615,18571,26667,19152,23494,26241,22279,42036,14659,34396,11058,18312,9407,13717,7250,12114,1560,8125,54,1473,0,0,0,0,0,0
24-Jan,경부선,1713,수원,1672,101,21399,4541,37771,29623,73104,46056,65257,64669,43744,58081,42658,61607,48792,64176,51426,77848,53074,73496,57467,72254,71099,73254,86765,82193,86661,94773,99103,125905,72899,94104,78765,52984,58812,40046,51584,31675,21153,22077,629,7057,0,0,0,0,0,0
24-Jan,경부선,1714,독산,511,2,7873,2551,18145,13106,47601,49822,43607,107618,23231,48087,17801,16804,17359,12799,19109,13721,18414,14788,17945,13225,18964,16943,29662,19036,64637,27656,78389,46574,32322,36405,17699,21501,12803,20077,7852,19354,2607,10741,97,776,0,0,0,0,0,0
24-Jan,경부선,1715,세류,384,1,4148,1309,9698,2896,15639,3973,9880,3738,5563,2506,4676,2856,4151,3009,4211,3207,3971,3363,3803,3481,4166,4114,5920,5856,7156,7416,5347,12493,3168,9787,2533,6807,2030,6066,1143,4226,400,2451,15,829,0,0,0,0,0,0
24-Jan,경부선,1716,병점,3488,23,8415,3459,28739,12059,50458,19955,38819,23940,26128,13437,23968,11202,22757,13195,22974,14274,21025,15828,20164,18276,22661,22529,26916,27032,30614,36647,30248,50179,16554,44659,12425,31824,10813,23016,7073,22557,2796,15355,45,6259,0,0,0,0,0,0
24-Jan,경부선,1717,세마,309,1,2338,1550,6074,3807,8971,4587,8338,10742,5890,2451,4816,1931,4194,2473,4400,2439,4699,3078,4399,3170,4879,3131,6894,5566,7403,7877,9271,8831,3119,7960,2105,5343,1972,4673,1078,4283,485,2261,60,186,0,0,0,0,0,0
24-Jan,경부선,1718,오산대,250,2,3271,1076,7072,2740,12162,4096,8779,7452,5884,3008,4953,2917,4671,3034,4914,3168,5500,4194,4511,4378,4820,3908,6502,6115,7178,8810,9015,12315,3636,10661,3040,5988,2994,5329,2080,4319,1069,2690,85,209,0,0,0,0,0,0
24-Jan,경부선,1719,오산,411,2,7640,2067,14682,10460,21742,27232,22855,19219,16540,12800,16889,10597,16337,10284,17432,13283,15456,14502,15286,13773,17059,17557,20724,20900,24755,24938,27208,29583,15006,23266,11829,17358,8163,14084,5189,9527,2186,7385,133,553,0,0,0,0,0,0
24-Jan,경부선,1720,진위,7,0,784,259,1500,2466,2545,8684,2210,7559,1959,2648,1750,2097,1577,1109,1662,1073,1727,1217,1823,1164,3395,1422,3453,1799,7303,2367,9775,2386,2986,2211,1606,1501,1052,1291,505,1021,267,787,8,41,0,0,0,0,0,0
24-Jan,경부선,1721,송탄,48,2,4934,910,7366,3617,11846,6207,10271,7601,8678,4405,7659,4033,8175,4680,7819,5504,7426,5950,6595,6496,6929,7737,8309,8720,9597,12077,10180,12621,5644,12143,3897,9604,3292,7924,2045,6337,902,5864,34,417,0,0,0,0,0,0
24-Jan,경부선,1722,서정리,16,0,4331,4990,11769,9746,16166,16178,15246,19337,12870,7890,12284,6737,11960,7258,13184,9443,11607,10778,11870,10270,14211,12398,18678,17022,35610,19350,23059,19790,12440,18264,9402,14782,6920,10941,4383,10944,2413,7806,109,775,0,0,0,0,0,0
24-Jan,경부선,1723,평택지제,6,0,2439,8743,5097,10917,10966,12684,8645,8116,6466,5024,5706,3906,5934,4241,7048,4958,4982,4046,5635,4727,8324,5417,8652,6713,17361,8579,11594,10699,9091,9379,6174,6770,4915,5717,4681,5420,2478,3263,50,274,0,0,0,0,0,0
24-Jan,경부선,1724,평택,66,3,7643,2743,13295,8286,23225,14771,22669,22496,21962,19585,21862,16506,20448,20349,21148,23472,22139,21715,22843,24539,23972,25666,26754,28863,31358,34724,29192,36072,20178,23963,20720,21102,14099,14678,12210,11186,6642,6383,130,2188,0,0,0,0,0,0
24-Jan,경부선,1725,성환,17,1,2178,688,3754,2576,5404,11089,5841,10950,6781,5873,6174,4528,5574,4438,6130,5516,10085,5094,6844,4877,6383,5734,9096,6670,14061,7438,10122,7698,4035,5599,3447,5389,1775,4656,943,4417,538,4215,65,1015,0,0,0,0,0,0
24-Jan,경부선,1726,직산,73,2,930,316,1553,1265,1690,3150,1777,3621,1491,1088,1339,823,1379,958,1287,945,1238,1001,1079,1136,1354,1067,1618,1366,3481,1878,3542,2057,1218,2019,885,1246,625,992,274,781,154,700,19,121,0,0,0,0,0,0
