사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
24-Jan,공항철도 1호선,4202,공덕,75363,104993,8660,10713
24-Jan,공항철도 1호선,4203,홍대입구,415901,409457,20330,18638
24-Jan,공항철도 1호선,4204,디지털미디어시티,376407,352012,30235,28782
24-Jan,공항철도 1호선,4206,마곡나루(서울식물원),294842,280399,17365,17442
24-Jan,공항철도 1호선,4207,김포공항,291796,156945,23775,14473
24-Jan,공항철도 1호선,4208,계양,346353,327279,35907,34092
24-Jan,공항철도 1호선,4209,검암,174451,177275,16567,16831
24-Jan,공항철도 1호선,4210,청라국제도시,200923,189496,14341,14018
24-Jan,공항철도 1호선,4211,운서,236001,250510,29479,30038
24-Jan,공항철도 1호선,4212,공항화물청사,50828,55282,10064,9735
24-Jan,공항철도 1호선,4213,인천공항1터미널,372023,363875,33033,30559
24-Jan,공항철도 1호선,4215,인천공항2터미널,187698,163269,17572,15462
24-Jan,공항철도 1호선,4217,영종,97294,97702,20296,20176
24-Jan,9호선2~3단계,4126,언주,303913,309218,32767,32407
24-Jan,9호선2~3단계,4127,선정릉,250001,269115,28517,28896
24-Jan,9호선2~3단계,4128,삼성중앙,192127,201547,28344,27782
24-Jan,9호선2~3단계,4129,봉은사,529251,549723,55026,52657
24-Jan,9호선2~3단계,4130,종합운동장,122965,123806,21059,19823
24-Jan,9호선2~3단계,4131,삼전,187197,176733,41443,40664
24-Jan,9호선2~3단계,4132,석촌고분,166363,163585,42640,42289
24-Jan,9호선2~3단계,4133,석촌,231362,207751,42455,38001
24-Jan,9호선2~3단계,4134,송파나루,138002,147865,30704,32180
24-Jan,9호선2~3단계,4135,한성백제,69924,62928,17778,16000
24-Jan,9호선2~3단계,4136,올림픽공원(한국체대),189522,189794,29432,29181
24-Jan,9호선2~3단계,4137,둔촌오륜,21914,21544,7048,7424
24-Jan,9호선2~3단계,4138,중앙보훈병원,256497,216615,84209,81879
24-Jan,우이신설선,4701,북한산우이,49068,41100,33116,34292
24-Jan,우이신설선,4702,솔밭공원,47169,41739,29017,29927
24-Jan,우이신설선,4703,4.19민주묘지,49600,45946,34881,31632
24-Jan,우이신설선,4704,가오리,73714,71314,51352,52950
24-Jan,우이신설선,4705,화계,58504,52597,44998,45629
24-Jan,우이신설선,4706,삼양,31606,31678,27283,30279
24-Jan,우이신설선,4707,삼양사거리,37328,38041,36910,36640
24-Jan,우이신설선,4708,솔샘,132603,119834,41307,43223
24-Jan,우이신설선,4709,북한산보국문,134970,127440,45957,46226
24-Jan,우이신설선,4710,정릉,90769,82311,47637,45251
24-Jan,우이신설선,4711,성신여대입구(돈암),71436,84552,30807,30321
24-Jan,우이신설선,4712,보문,29639,29929,16095,15764
24-Jan,우이신설선,4713,신설동,34264,34406,31978,28064
24-Jan,신림선,4401,샛강,64109,76031,14201,13488
24-Jan,신림선,4402,대방,64950,50943,18318,15588
24-Jan,신림선,4403,서울지방병무청,60606,66052,24087,26206
24-Jan,신림선,4404,보라매,88063,82537,24267,22115
24-Jan,신림선,4405,보라매공원,43266,46970,15947,17135
24-Jan,신림선,4406,보라매병원,160588,169555,55717,54868
24-Jan,신림선,4407,당곡,98738,97626,36831,36933
24-Jan,신림선,4408,신림,35297,51238,15855,19430
24-Jan,신림선,4409,서원,77411,67942,24808,23974
24-Jan,신림선,4410,서울대벤처타운,212275,196302,65953,66065
24-Jan,신림선,4411,관악산(서울대),49186,48999,28031,28001
